linkid  直行	左转	右转
3221578	3221591	-3221639	-3221593
3221589	3221588		3221658
-3221589	-2213451		
3221593	-3221639	-3221578	3221591
-3221593	-1580375		
1580375	3221593		
-1580375			-3221577
3221597			-3221713
3221600	3221598		
3221611	1673462	1673451	
-3221611	-1664155		
-3221612	-3220102		
3221612	1673451	-3221611	1673462
3221613	-3220102		
-3221614	-1673462		3221616
3221614	1686234		
3221615			
-3221615	-1673451		
3221616			3221615
3221617	-3221618	1687663	-3221619
-3221617			
3221618	-3221617	-3221619	1687663
-3221618			
3221619	1687663	-3221617	-3221618
-3221619	-1686367	-3221620	
3221620		-1686367	3221619
-3221620			
3221621	-3221625	-1687701	3221622
-3221621		3221643	-3221726
3221622	3221624		
-3221622	-1687701	-3221621	
3221623	3221625		
-3221623			
-3221624	-3221622		3221626
3221624	3221715		3221714
3221625	-3221621	3221622	-1687701
-3221625	-3221623		
3221626			-3221623
-3221627	-3221599	-3221628	-3221629
3221627	3221631	-3221632	-3221633
3221628	-3221629	-3221599	3221627
-3221628			
3221629	-3221628	3221627	-3221599
-3221629			
3221630			3221599
3221631			
-3221631	-3221627	-3221633	-3221632
3221632	-3221633	3221631	-3221627
-3221632			
3221633	-3221632	-3221627	3221631
-3221633			
3221634	1684513	3221580	
-3221634	-1683750		
3221635			-1684354
3221637	-3221638	3221578	-1578878
-3221637			
3221638	-3221637	-1578878	3221578
-3221638			
3221639	-3221593	3221591	-3221578
-3221639			
3221640	-3221641	1683750	1580854
-3221640			
3221641	-3221640	1580854	1683750
-3221641			
3221642		-1962758	3221577
-3221642			
-3221643	-3221726		3221621
3221643	3221711		3221712
3221644	1692313		
3221645			1692313
3221646			
3221647	3221601		
3221648	3221601		
3221649			
3221650			
3221651	1692272		
3221652	-3221566		
3221653	2225313		
-3221653	-3221566		
3221654			2225979
3221655	3221585		
-3221655	-2228275		3221656
3221656	3219214		
3221657	3221655		
3221658			2213548
3221659	-3221674	-3221568	-2212424
-3221659			
3221660	-3221661	1686066	-1686032
-3221660			
3221661	-3221660	-1686032	1686066
-3221661			
3221662		-2209911	2212327
-3221662			
3221663	2210202		2210790
3221664			3221663
-3221664	-2211646		-2211810
3221665			2210163
3221666	2210144		
3221667	3220217		
3221668	-3221671	2210809	
-3221668	-1965762		
3221669	2210809	-3221668	-3221671
-3221669	-3221576		
3221670			-3221576
3221671	-3221668	-3221669	2210809
-3221671			
3221672	-2210790	2210784	-2210766
-3221672			
3221673			2225934
-3221673			
-3221674	-2214226	3221675	
3221674	-3221659	-2212424	-3221568
3221675			3221539
-3221675		-2214226	3221674
3221676	3221677	2214226	-2213394
-3221676			
3221677			2213445
-3221677	-3221676	-2213394	2214226
3221678			1962939
-3221678			
3221679	3219210		
3221680	3219210		
3221681	1692881	3221679	
3221682	3221683		
3221683			
3221684			
3221685	-2211570	2211646	
-3221685			
3221686	3214227		-2214217
-3221686			
3221687	3221689		-3221690
3221688			3221687
-3221688			
3221689	3219219		
3221690			3221689
-3221690			
3221691	3221569		
3221692	3221691		-3221694
3221693			3221692
-3221693			
3221694			3221691
-3221694			
-3221695	-3221696	-2214353	
3221695	-2222129		
3221696	3221695		-2214353
-3221696			
3221697	3221700	3221767	-2227328
-3221697		-3221698	-3221699
3221698	-3221699		3221697
-3221698			3219642
3221699	-3221698	3221697	
-3221699			
-3221700	-3221697	-2227328	3221767
3221700	-2215011	2228153	
3221701	2229529		
-3221701		-3221703	-3221702
3221702	-3221703	3221701	
-3221702	-3221704	-1692290	-3221705
3221703	-3221702	3221701	
-3221703			
3221704	3221702	-3221705	-1692290
-3221704			
3221705	-1692290	3221702	-3221704
-3221705			
-3221706	-3221707	-1689923	
3221706	1690181		
-3221707		-1682415	3221708
3221707	3221706		-1689923
-3221708	-1682415	3221707	
3221708	1682029	-1682300	1682155
3221709	-1686374		1686407
-3221709			
3221710	3221646		
-3221711	-3221643		
3221711	1692849	-3221715	
3221712	3221713		
3221713	3221595		3221596
-3221713	-1692862		
3221714			-3221643
3221715	1692862	1692849	
-3221715	-3221624		
3221716			3221718
3221717	2225179		
-3221717	-3221583		3221716
3221718	1690223	1685349	
-3221718	-1686091		
3221719			-1686066
3221720	3221583	1686091	
-3221720	-3221730		
3221721	1686091	-3221720	3221583
-3221721	-1686066		
3221722	1690844	-3214113	
-3221722	-1690850		
3221723	3221724		
3221724			
-3221724	-3219816		3221725
3221725	3221726		
3221726	3221643	3221621	
-3221726	-1690844		
3221727			-3221735
3221728	1685204		
-3221728	-1685264		3221727
3221729	1686053	1685264	
-3221729	-3221735		
-3221730	-1686053		3221731
3221730	3221720		3221719
3221731	3221728		
3221732	1685264	-3221729	
-3221732	-1685169		
3221733			-1685169
3221734	3221730		
-3221735	-1685162		3221736
3221735	3221729		3221733
3221736	3221737		
3221737	1682300		
-3221737	-1685103		3221742
3221738	1685103	-3221740	
-3221738	-3221762		
3221739			3221735
3221740	1685162	1685103	
-3221740	-1685097		
3221741	-3221762		
3221742	-1685097		
-3221743	-1686022		3221744
3221743	2212424	1686032	-1686042
3221744	3221745		
3221745	1685169		
-3221745	-1685453		3221750
-3221746	-3215090		
3221746	1685453	-3221749	
3221747	3221743		
3221748	-3215090		
3221749	1686022	1685453	
-3221749	-3221761		
3221750			-3221761
3221751	1685097		
-3221751	-1685055		3221755
3221752	1685041	-3221756	
-3221752	-3221759		
3221753	3221751		
3221754	-1682091		
-3221754	-1685041		3221757
3221755	3221754		
-3221756	-1685029		
3221756	1685055	1685041	
3221757	-1685029		
3221758	-3221759		
-3221759	-1685120		3221764
3221759	3221752		3221753
-3221760	-1685409		
3221760	1685138	1685120	
-3221761	-1685432		3221766
3221761	3221749		3221748
-3221762	-1685138		3221763
3221762	3221738		3221739
3221763	3221759		
3221764	-1685409		
3221765	3221761		
3221766	3221762		
3221767			
-3221767	-2227328	3221700	-3221697
3221768	-2215103		2215113
-3221768	-2215081		
3221769	3221770	3221774	
3221770			3221771
3221771	3221783		
3221772			3221774
3221773	3221771		
3221774		-2215081	3221768
3221775		3221776	
-3221775		-3221604	3221782
3221776	3221780		
3221777	1682068	-3221782	1682091
-3221777	-3221779		
3221778	3221781		
3221779	3221777		
-3221779	-1682081		3221778
3221780			-3221779
3221781	-3221775		3221776
3221782	1682091	1682068	-3221777
-3221782	-3221604	3221775	
3221783	2215745		
