LinkID	BA	Anode	Bnode	Length
3221751	S	79	4087	0.099093
3221752	E	80	4086	0.007381
3221753		80	79	0.015677
3221754	E	81	4070	0.229903
3221755		79	81	0.014699
3221756	S	82	4086	0.005751
3221757		81	82	0.017502
3221758		82	80	0.015943
3221759	E	83	80	0.344185
3221760	S	84	4089	0.003637
3221761	W	85	78	0.153752
3221762	S	86	73	0.368248
3221763		86	83	0.016282
3221764		83	84	0.015229
3221765		84	85	0.011636
3221766		85	86	0.017466
3221767	SW	46	87	0.071808
3221768	S	88	6421	0.047289
3221769		88	89	0.041121
3221770		89	92	0.046541
3221771		92	6425	0.044666
3221772		94	89	0.046589
3221773		94	92	0.004922
3221774		89	88	0.032492
3221775	NW	90	91	0.024306
3221776		91	99	0.039522
3221777	SE	95	4065	0.025655
3221778		97	99	0.006534
3221779	SE	97	95	0.009872
3221780		99	95	0.009411
3221781		99	91	0.057597
3221782	SW	90	4065	0.055145
3221783		6425	6433	0.082818
